# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	1	5662	-					tlh1	2541932	SPAC212.11	5662		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	1	5662	-	NM_001018168.1		NP_595040.1	RecQ type DNA helicase	tlh1	2541932	SPAC212.11	5662	5662	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	1	5662	-	NP_595040.1		NM_001018168.1	RecQ type DNA helicase	tlh1	2541932	SPAC212.11	5662	1887	partial
gene	pseudogene	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	5726	6331	-						6391210	SPAC212.10	606		pseudo
CDS	without_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	5726	6331	-				pseudogene malic acid transport protein		6391210	SPAC212.10	606		pseudo
gene	pseudogene	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	7619	9274	+						6391211	SPAC212.09c	1656		pseudo
CDS	without_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	7619	9274	+				pseudogene		6391211	SPAC212.09c	1656		pseudo
gene	misc_RNA	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	11027	11556	-						3361373	SPNCRNA.70	530		
misc_RNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	11027	11556	-	NR_151068.1			non-coding RNA (predicted)		3361373	SPNCRNA.70	530	530	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	11784	12994	+						2542009	SPAC212.08c	1211		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	11784	12994	+	NM_001018169.2		NP_595039.1	putative GPI anchored protein		2542009	SPAC212.08c	1211	1211	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	12158	12994	+	NP_595039.1		NM_001018169.2	putative GPI anchored protein		2542009	SPAC212.08c	837	278	
gene	pseudogene	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	13665	14555	+						3361374	SPAC212.07c	891		pseudo
CDS	without_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	13665	14555	+				pseudogene		3361374	SPAC212.07c	891		pseudo
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	15855	16226	+						9407254	SPAC212.12	372		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	15855	16226	+	NM_001355957.1		NP_001343063.1	GPI-anchored protein		9407254	SPAC212.12	372	372	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	15855	16226	+	NP_001343063.1		NM_001355957.1	GPI-anchored protein		9407254	SPAC212.12	372	123	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	18042	18974	+						3361375	SPAC212.06c	933		
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	18042	18974	+	NM_001355958.1		NP_001343026.1	DNA helicase-like protein		3361375	SPAC212.06c	891	891	
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	18072	18557	+	NP_001343026.1		NM_001355958.1	DNA helicase-like protein		3361375	SPAC212.06c	444	147	
gene	pseudogene	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	20824	21015	+						3361380	SPAC212.05c	192		pseudo
CDS	without_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	20824	21015	+				pseudogene		3361380	SPAC212.05c	192		pseudo
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	21381	23050	+						2541911	SPAC212.04c	1670		
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	21381	23050	+	NM_001018170.2		NP_595038.1	uncharacterized protein		2541911	SPAC212.04c	1615	1615	
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	21587	22508	+	NP_595038.1		NM_001018170.2	uncharacterized protein		2541911	SPAC212.04c	867	288	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	23589	24054	-						2542026	SPAC212.03	466		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	23589	24054	-	NM_001018171.2		NP_595037.1	uncharacterized protein		2542026	SPAC212.03	466	466	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	23589	23978	-	NP_595037.1		NM_001018171.2	uncharacterized protein		2542026	SPAC212.03	390	129	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	27353	27763	-						2542050	SPAC212.02	411		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	27353	27763	-	NM_001018172.1		NP_595036.1	uncharacterized protein		2542050	SPAC212.02	411	411	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	27353	27763	-	NP_595036.1		NM_001018172.1	uncharacterized protein		2542050	SPAC212.02	411	136	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	28738	29657	+						2542040	SPAC212.01c	920		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	28738	29657	+	NM_001018173.2		NP_595035.1	uncharacterized protein		2542040	SPAC212.01c	862	862	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	28738	29638	+	NP_595035.1		NM_001018173.2	uncharacterized protein		2542040	SPAC212.01c	843	280	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	29764	31069	+						2543353	SPAC977.01	1306		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	29764	31069	+	NM_001018174.2		NP_592774.1	transmembrane helix domain-containing protein		2543353	SPAC977.01	1306	1306	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	29764	30716	+	NP_592774.1		NM_001018174.2	transmembrane helix domain-containing protein		2543353	SPAC977.01	953	316	partial
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	31140	32345	-						14218019	SPAC977.18	1206		
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	31140	32345	-	NM_001355959.1		NP_001343097.1	uncharacterized protein		14218019	SPAC977.18	747	747	
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	31327	32187	-	NP_001343097.1		NM_001355959.1	uncharacterized protein		14218019	SPAC977.18	402	133	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	32034	33012	+						2543349	SPAC977.02	979		
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	32034	33012	+	NM_001018175.2		NP_592775.1	transmembrane helix domain-containing protein		2543349	SPAC977.02	979	979	
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	32230	32670	+	NP_592775.1		NM_001018175.2	transmembrane helix domain-containing protein		2543349	SPAC977.02	441	146	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	33835	34272	+						2543345	SPAC977.03	438		partial
mRNA		GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	33835	34272	+	NM_001018176.1		NP_592776.1	putative methyltransferase		2543345	SPAC977.03	438	438	partial
CDS	with_protein	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	33835	34272	+	NP_592776.1		NM_001018176.1	putative methyltransferase		2543345	SPAC977.03	438	145	
gene	protein_coding	GCF_000002945.1	Primary Assembly	chromosome	I	NC_003424.3	34298	34978	+						3361386	SPAC977.04	681		
