# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	46	743	-						3371530	cgd1_5	698		partial
rRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	46	743	-				18S ribosomal RNA		3371530	cgd1_5	698		partial
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	3682	4995	-						3371444	cgd1_10	1314		partial
mRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	3682	4995	-	XM_627864.1		XP_627864.1	predicted membrane associated protein with 11 transmembrane domains regions		3371444	cgd1_10	1314	1314	partial
CDS	with_protein	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	3682	4995	-	XP_627864.1		XM_627864.1	membrane associated protein with 11 transmembrane domains regions		3371444	cgd1_10	1314	437	
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	5188	6504	-						3371443	cgd1_20	1317		partial
mRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	5188	6504	-	XM_627865.1		XP_627865.1	predicted membrane associated protein with 11 transmembrane domains regions		3371443	cgd1_20	1317	1317	partial
CDS	with_protein	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	5188	6504	-	XP_627865.1		XM_627865.1	membrane associated protein with 11 transmembrane domains regions		3371443	cgd1_20	1317	438	
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	6974	11926	+						3371442	cgd1_30	4953		partial
mRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	6974	11926	+	XM_627866.1		XP_627866.1	predicted membrane protein with 12+xtransmembrane domain		3371442	cgd1_30	4953	4953	partial
CDS	with_protein	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	6974	11926	+	XP_627866.1		XM_627866.1	membrane protein with 12+xtransmembrane domain		3371442	cgd1_30	4953	1650	
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	12119	13132	-						3371439	cgd1_40	1014		partial
mRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	12119	13132	-	XM_627867.1		XP_627867.1	UDP-galactose transporter, predicted signal peptide and 9 transmembrane domains		3371439	cgd1_40	1014	1014	partial
CDS	with_protein	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	12119	13132	-	XP_627867.1		XM_627867.1	UDP-galactose transporter, predicted signal peptide and 9 transmembrane domains		3371439	cgd1_40	1014	337	
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	13466	16336	+						3371441	cgd1_50	2871		partial
mRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	13466	16336	+	XM_627868.1		XP_627868.1	hypothetical protein with 2 TPR domains		3371441	cgd1_50	2871	2871	partial
CDS	with_protein	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	13466	16336	+	XP_627868.1		XM_627868.1	hypothetical protein		3371441	cgd1_50	2871	956	
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	16597	17499	+						3371475	cgd1_60	903		partial
mRNA		GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	16597	17499	+	XM_001388096.1		XP_001388133.1	cyclin dependent kinase A, putative		3371475	cgd1_60	903	903	partial
CDS	with_protein	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	16597	17499	+	XP_001388133.1		XM_001388096.1	cyclin dependent kinase A		3371475	cgd1_60	903	300	
gene	protein_coding	GCF_000165345.1	Primary Assembly	chromosome	1	NC_006980.1	17693	18049	-						3371437	cgd1_70	357		partial
