# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	4117	4593	+						860172	ECU01_0010	477		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	4117	4593	+	XM_960745.1		XP_965838.1	hypothetical protein		860172	ECU01_0010	477	477	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	4117	4593	+	XP_965838.1		XM_960745.1	hypothetical protein		860172	ECU01_0010	477	158	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	4391	5086	-						860173	ECU01_0020	696		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	4391	5086	-	XM_960746.1		XP_965839.1	hypothetical protein		860173	ECU01_0020	696	696	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	4391	5086	-	XP_965839.1		XM_960746.1	hypothetical protein		860173	ECU01_0020	696	231	
gene	rRNA	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	5014	7486	-						860174	ECU01_0023	2473		
rRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	5014	7486	-				5.8S-23S ribosomal RNA		860174	ECU01_0023	2473		
gene	rRNA	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	7536	8832	-						860175	ECU01_0025	1297		
rRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	7536	8832	-				16S ribosomal RNA		860175	ECU01_0025	1297		
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	11158	11529	-						860176	ECU01_0030	372		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	11158	11529	-	XM_960747.1		XP_965840.1	hypothetical protein		860176	ECU01_0030	372	372	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	11158	11529	-	XP_965840.1		XM_960747.1	hypothetical protein		860176	ECU01_0030	372	123	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	12389	13003	+						860177	ECU01_0040	615		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	12389	13003	+	XM_960748.1		XP_965841.1	hypothetical protein		860177	ECU01_0040	615	615	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	12389	13003	+	XP_965841.1		XM_960748.1	hypothetical protein		860177	ECU01_0040	615	204	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	13741	14457	+						860178	ECU01_0050	717		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	13741	14457	+	XM_960749.1		XP_965842.1	hypothetical protein		860178	ECU01_0050	717	717	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	13741	14457	+	XP_965842.1		XM_960749.1	hypothetical protein		860178	ECU01_0050	717	238	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	14529	14834	-						860179	ECU01_0060	306		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	14529	14834	-	XM_960750.1		XP_965843.1	hypothetical protein		860179	ECU01_0060	306	306	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	14529	14834	-	XP_965843.1		XM_960750.1	hypothetical protein		860179	ECU01_0060	306	101	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	15893	16657	+						860180	ECU01_0070	765		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	15893	16657	+	XM_960751.1		XP_965844.1	hypothetical protein		860180	ECU01_0070	765	765	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	15893	16657	+	XP_965844.1		XM_960751.1	hypothetical protein		860180	ECU01_0070	765	254	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	17534	18529	-						860181	ECU01_0080	996		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	17534	18529	-	XM_960752.1		XP_965845.1	hypothetical protein		860181	ECU01_0080	996	996	partial
CDS	with_protein	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	17534	18529	-	XP_965845.1		XM_960752.1	hypothetical protein		860181	ECU01_0080	996	331	
gene	protein_coding	GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	19172	20002	+						860182	ECU01_0090	831		partial
mRNA		GCF_000091225.1	Primary Assembly	chromosome	I	NC_003242.2	19172	20002	+	XM_960753.1		XP_965846.1	hypothetical protein		860182	ECU01_0090	831	831	partial
