# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	4839	6236	+						3253454	CNA00010	1398		
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	4839	6236	+	XM_024656125.1		XP_024512088.1	expressed protein		3253454	CNA00010	1012	1012	
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	4914	6059	+	XP_024512088.1		XM_024656125.1	expressed protein		3253454	CNA00010	822	273	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	6342	8374	-						3253645	CNA00020	2033		
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	6342	8374	-	XM_566435.2		XP_566435.1	expressed protein		3253645	CNA00020	1237	1237	
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	6520	8278	-	XP_566435.1		XM_566435.2	expressed protein		3253645	CNA00020	963	320	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	9003	12963	+						3253928	CNA00030	3961		
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	9003	12963	+	XM_566436.2		XP_566436.1	cation transporter, putative		3253928	CNA00030	3564	3564	
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	9208	12574	+	XP_566436.1		XM_566436.2	cation transporter, putative		3253928	CNA00030	2970	989	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	14271	15995	-						3253494	CNA00040	1725		
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	14271	15995	-	XM_024656126.1		XP_024511806.1	calcium-binding protein, putative		3253494	CNA00040	1405	1405	
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	14508	15931	-	XP_024511806.1		XM_024656126.1	calcium-binding protein, putative		3253494	CNA00040	1104	367	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	16160	20462	+						3253550	CNA00050	4303		partial
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	16160	20462	+	XM_024656127.1		XP_024511807.1	cell cycle arrest in response to pheromone-related protein, putative		3253550	CNA00050	3605	3605	partial
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	16255	20462	+	XP_024511807.1		XM_024656127.1	cell cycle arrest in response to pheromone-related protein, putative		3253550	CNA00050	3510	1169	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	18733	22794	-						3254020	CNA00060	4062		
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	18733	22794	-	XM_024656128.1		XP_024511808.1	methionine-tRNA ligase, putative		3254020	CNA00060	3613	3613	
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	20633	22709	-	XP_024511808.1		XM_024656128.1	methionine-tRNA ligase, putative		3254020	CNA00060	1749	582	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	22943	24309	+						3253998	CNA00070	1367		partial
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	22943	24309	+	XM_566440.2		XP_566440.1	proteolysis and peptidolysis-related protein, putative		3253998	CNA00070	999	999	partial
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	22985	24309	+	XP_566440.1		XM_566440.2	proteolysis and peptidolysis-related protein, putative		3253998	CNA00070	957	318	
gene	protein_coding	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	26489	27914	+						36392649	CNA00075	1426		
mRNA		GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	26489	27914	+	XM_024656038.1		XP_024514110.1	hypothetical protein		36392649	CNA00075	1138	1138	
CDS	with_protein	GCF_000091045.1	Primary Assembly	chromosome	1	NC_006670.1	26531	27457	+	XP_024514110.1		XM_024656038.1	hypothetical protein		36392649	CNA00075	639	212	
