# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	15453	22922	+						13440511	NCLIV_000010	7470		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	15453	22922	+	XM_003879489.1		XP_003879538.1	putative heat shock protein 90		13440511	NCLIV_000010	2457	2457	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	15453	22922	+	XP_003879538.1		XM_003879489.1	putative heat shock protein 90		13440511	NCLIV_000010	2457	818	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	23563	31911	-						13440515	NCLIV_000020	8349		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	23563	31911	-	XM_003879490.1		XP_003879539.1	putative M protein		13440515	NCLIV_000020	2292	2292	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	23563	31911	-	XP_003879539.1		XM_003879490.1	putative M protein		13440515	NCLIV_000020	2292	763	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	34077	39761	-						13440519	NCLIV_000030	5685		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	34077	39761	-	XM_003879491.1		XP_003879540.1	conserved hypothetical protein		13440519	NCLIV_000030	5685	5685	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	34077	39761	-	XP_003879540.1		XM_003879491.1	conserved hypothetical protein		13440519	NCLIV_000030	5685	1894	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	43707	47951	-						13440505	NCLIV_000040	4245		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	43707	47951	-	XM_003879492.1		XP_003879541.1	putative transmembrane domain-containing protein		13440505	NCLIV_000040	1896	1896	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	43707	47951	-	XP_003879541.1		XM_003879492.1	putative transmembrane domain-containing protein		13440505	NCLIV_000040	1896	631	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	50333	67055	-						13440516	NCLIV_000050	16723		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	50333	67055	-	XM_003879493.1		XP_003879542.1	conserved hypothetical protein		13440516	NCLIV_000050	8418	8418	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	50333	67055	-	XP_003879542.1		XM_003879493.1	conserved hypothetical protein		13440516	NCLIV_000050	8418	2805	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	71321	85323	+						13440524	NCLIV_000060	14003		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	71321	85323	+	XM_003879494.1		XP_003879543.1	putative 3', 5'-cyclic nucleotide phosphodiesterase domain-containing protein		13440524	NCLIV_000060	6696	6696	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	71321	85323	+	XP_003879543.1		XM_003879494.1	putative 3', 5'-cyclic nucleotide phosphodiesterase domain-containing protein		13440524	NCLIV_000060	6696	2231	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	89508	90998	+						13440533	NCLIV_000070	1491		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	89508	90998	+	XM_003879495.1		XP_003879544.1	conserved hypothetical protein		13440533	NCLIV_000070	378	378	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	89508	90998	+	XP_003879544.1		XM_003879495.1	conserved hypothetical protein		13440533	NCLIV_000070	378	125	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	93992	104253	+						13445716	NCLIV_000080	10262		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	93992	104253	+	XM_003879496.1		XP_003879545.1	conserved hypothetical protein		13445716	NCLIV_000080	9195	9195	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	93992	104253	+	XP_003879545.1		XM_003879496.1	conserved hypothetical protein		13445716	NCLIV_000080	9195	3064	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	107536	108816	-						13440530	NCLIV_000090	1281		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	107536	108816	-	XM_003879497.1		XP_003879546.1	conserved hypothetical protein		13440530	NCLIV_000090	1281	1281	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	107536	108816	-	XP_003879546.1		XM_003879497.1	conserved hypothetical protein		13440530	NCLIV_000090	1281	426	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	109004	110206	-						13440565	NCLIV_000100	1203		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	109004	110206	-	XM_003879498.1		XP_003879547.1	putative sybindin-like family domain-containing protein		13440565	NCLIV_000100	441	441	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	109004	110206	-	XP_003879547.1		XM_003879498.1	putative sybindin-like family domain-containing protein		13440565	NCLIV_000100	441	146	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	112338	119877	+						13440601	NCLIV_000110	7540		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	112338	119877	+	XM_003879499.1		XP_003879548.1	arabinogalactan protein, related		13440601	NCLIV_000110	2334	2334	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	112338	119877	+	XP_003879548.1		XM_003879499.1	arabinogalactan protein, related		13440601	NCLIV_000110	2334	777	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	122226	132266	-						13445712	NCLIV_000120	10041		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	122226	132266	-	XM_003879500.1		XP_003879549.1	conserved hypothetical protein		13445712	NCLIV_000120	9717	9717	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	122226	132266	-	XP_003879549.1		XM_003879500.1	conserved hypothetical protein		13445712	NCLIV_000120	9717	3238	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	135373	140309	-						13445721	NCLIV_000130	4937		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	135373	140309	-	XM_003879501.1		XP_003879550.1	hypothetical protein		13445721	NCLIV_000130	1485	1485	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	135373	140309	-	XP_003879550.1		XM_003879501.1	hypothetical protein		13445721	NCLIV_000130	1485	494	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	144578	150939	+						13445704	NCLIV_000140	6362		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	144578	150939	+	XM_003879502.1		XP_003879551.1	inositol-1,4,5-trisphosphate 5-phosphatase 2, related		13445704	NCLIV_000140	1971	1971	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	144578	150939	+	XP_003879551.1		XM_003879502.1	inositol-1,4,5-trisphosphate 5-phosphatase 2, related		13445704	NCLIV_000140	1971	656	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	153974	155100	+						13445728	NCLIV_000150	1127		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	153974	155100	+	XM_003879503.1		XP_003879552.1	conserved hypothetical protein		13445728	NCLIV_000150	240	240	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	153974	155100	+	XP_003879552.1		XM_003879503.1	conserved hypothetical protein		13445728	NCLIV_000150	240	79	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	159529	166900	+						13440549	NCLIV_000160	7372		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	159529	166900	+	XM_003879504.1		XP_003879553.1	putative zinc finger DHHC domain-containing protein		13440549	NCLIV_000160	4161	4161	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	159529	166900	+	XP_003879553.1		XM_003879504.1	putative zinc finger DHHC domain-containing protein		13440549	NCLIV_000160	4161	1386	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	169260	175558	-						13440615	NCLIV_000170	6299		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	169260	175558	-	XM_003879505.1		XP_003879554.1	conserved hypothetical protein		13440615	NCLIV_000170	1395	1395	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	169260	175558	-	XP_003879554.1		XM_003879505.1	conserved hypothetical protein		13440615	NCLIV_000170	1395	464	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	179208	183072	+						13440552	NCLIV_000180	3865		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	179208	183072	+	XM_003879506.1		XP_003879555.1	conserved hypothetical protein		13440552	NCLIV_000180	3402	3402	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	179208	183072	+	XP_003879555.1		XM_003879506.1	conserved hypothetical protein		13440552	NCLIV_000180	3402	1133	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	187823	191812	+						13440529	NCLIV_000190	3990		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	187823	191812	+	XM_003879507.1		XP_003879556.1	conserved hypothetical protein		13440529	NCLIV_000190	3990	3990	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	187823	191812	+	XP_003879556.1		XM_003879507.1	conserved hypothetical protein		13440529	NCLIV_000190	3990	1329	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	193889	198745	-						13440531	NCLIV_000200	4857		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	193889	198745	-	XM_003879508.1		XP_003879557.1	hypothetical protein		13440531	NCLIV_000200	4857	4857	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	193889	198745	-	XP_003879557.1		XM_003879508.1	hypothetical protein		13440531	NCLIV_000200	4857	1618	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	204228	207575	+						13440583	NCLIV_000210	3348		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	204228	207575	+	XM_003879509.1		XP_003879558.1	hypothetical protein		13440583	NCLIV_000210	3348	3348	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	204228	207575	+	XP_003879558.1		XM_003879509.1	hypothetical protein		13440583	NCLIV_000210	3348	1115	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	212384	215612	+						13440597	NCLIV_000220	3229		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	212384	215612	+	XM_003879510.1		XP_003879559.1	putative pyruvate dehydrogenase (lipoamide) kinase		13440597	NCLIV_000220	2919	2919	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	212384	215612	+	XP_003879559.1		XM_003879510.1	putative pyruvate dehydrogenase (lipoamide) kinase		13440597	NCLIV_000220	2919	972	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	220540	228657	-						13440568	NCLIV_000230	8118		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	220540	228657	-	XM_003879511.1		XP_003879560.1	conserved hypothetical protein		13440568	NCLIV_000230	8118	8118	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	220540	228657	-	XP_003879560.1		XM_003879511.1	conserved hypothetical protein		13440568	NCLIV_000230	8118	2705	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	233545	235455	+						13440585	NCLIV_000240	1911		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	233545	235455	+	XM_003879512.1		XP_003879561.1	putative WW domain containing protein		13440585	NCLIV_000240	1911	1911	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	233545	235455	+	XP_003879561.1		XM_003879512.1	putative WW domain containing protein		13440585	NCLIV_000240	1911	636	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	237067	237432	-						13440589	NCLIV_000250	366		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	237067	237432	-	XM_003879513.1		XP_003879562.1	putative ribosomal protein L20		13440589	NCLIV_000250	366	366	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	237067	237432	-	XP_003879562.1		XM_003879513.1	putative ribosomal protein L20		13440589	NCLIV_000250	366	121	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	239747	250500	+						13445714	NCLIV_000260	10754		partial
mRNA		GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	239747	250500	+	XM_003879514.1		XP_003879563.1	conserved hypothetical protein		13445714	NCLIV_000260	5028	5028	partial
CDS	with_protein	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	239747	250500	+	XP_003879563.1		XM_003879514.1	conserved hypothetical protein		13445714	NCLIV_000260	5028	1675	
gene	protein_coding	GCF_000208865.1	Primary Assembly	chromosome	Ia	NC_018385.1	256048	259875	+						13445722	NCLIV_000270	3828		partial
