# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	2	1731	+						17091431	Gasu_00010	1730		partial
mRNA		GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	2	1731	+	XM_005709090.1		XP_005709147.1	archaeal ATPase		17091431	Gasu_00010	1657	1657	partial
CDS	with_protein	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	2	1622	+	XP_005709147.1		XM_005709090.1	archaeal ATPase		17091431	Gasu_00010	1548	515	partial
gene	protein_coding	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	2811	4272	+						17091238	Gasu_00020	1462		
mRNA		GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	2811	4272	+	XM_005709091.1		XP_005709148.1	formamidase		17091238	Gasu_00020	1462	1462	
CDS	with_protein	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	2870	4234	+	XP_005709148.1		XM_005709091.1	formamidase		17091238	Gasu_00020	1365	454	
gene	protein_coding	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	4546	6920	-						17091193	Gasu_00030	2375		
mRNA		GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	4546	6920	-	XM_005709092.1		XP_005709149.1	sodium:solute symporter, SSS family		17091193	Gasu_00030	2375	2375	
CDS	with_protein	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	4716	6806	-	XP_005709149.1		XM_005709092.1	sodium:solute symporter, SSS family		17091193	Gasu_00030	2091	696	
gene	protein_coding	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	7031	8235	+						17091194	Gasu_00040	1205		
mRNA		GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	7031	8235	+	XM_005709093.1		XP_005709150.1	metal ion binding protein		17091194	Gasu_00040	1205	1205	
CDS	with_protein	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	7036	8178	+	XP_005709150.1		XM_005709093.1	metal ion binding protein		17091194	Gasu_00040	1143	380	
gene	protein_coding	GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	9259	10750	-						17091195	Gasu_00050	1492		
mRNA		GCF_000341285.1	Primary Assembly	unplaced scaffold		NW_005178475.1	9259	10750	-	XM_005709095.1		XP_005709152.1	amino acid transporter, AAAP family isoform 1		17091195	Gasu_00050	1492	1492	
