# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	36	2475	-						9698564	Eint_010010	2440		
rRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	36	2475	-	XR_002670131.1			5.8S-23S ribosomal RNA		9698564	Eint_010010	2440	2440	
gene	rRNA	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	2516	3808	-						9698540	Eint_010020	1293		
rRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	2516	3808	-	XR_002670132.1			16S ribosomal RNA		9698540	Eint_010020	1293	1293	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	4505	7087	-						9698590	Eint_010030	2583		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	4505	7087	-	XM_003072181.1		XP_003072227.1	aminopeptidase N		9698590	Eint_010030	2583	2583	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	4505	7087	-	XP_003072227.1		XM_003072181.1	aminopeptidase N		9698590	Eint_010030	2583	860	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	7131	7745	+						9698574	Eint_010040	615		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	7131	7745	+	XM_003072182.1		XP_003072228.1	dihydrofolate reductase		9698574	Eint_010040	615	615	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	7131	7745	+	XP_003072228.1		XM_003072182.1	dihydrofolate reductase		9698574	Eint_010040	615	204	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	7775	8659	+						9698548	Eint_010050	885		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	7775	8659	+	XM_003072183.1		XP_003072229.1	bifunctional dihydrofolate reductase-thymidylate synthase		9698548	Eint_010050	885	885	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	7775	8659	+	XP_003072229.1		XM_003072183.1	bifunctional dihydrofolate reductase-thymidylate synthase		9698548	Eint_010050	885	294	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	8706	10085	+						9698653	Eint_010060	1380		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	8706	10085	+	XM_003072184.1		XP_003072230.1	serine hydroxymethyltransferase		9698653	Eint_010060	1380	1380	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	8706	10085	+	XP_003072230.1		XM_003072184.1	serine hydroxymethyltransferase		9698653	Eint_010060	1380	459	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	10149	11993	+						9698649	Eint_010070	1845		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	10149	11993	+	XM_003072185.1		XP_003072231.1	ATM1 mitochondrial ABC transporter		9698649	Eint_010070	1845	1845	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	10149	11993	+	XP_003072231.1		XM_003072185.1	ATM1 mitochondrial ABC transporter		9698649	Eint_010070	1845	614	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	11959	12492	+						9698571	Eint_010080	534		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	11959	12492	+	XM_003072186.1		XP_003072232.1	uncharacterized protein		9698571	Eint_010080	534	534	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	11959	12492	+	XP_003072232.1		XM_003072186.1	uncharacterized protein		9698571	Eint_010080	534	177	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	12601	13329	-						9698552	Eint_010090	729		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	12601	13329	-	XM_003072187.1		XP_003072233.1	uncharacterized protein		9698552	Eint_010090	729	729	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	12601	13329	-	XP_003072233.1		XM_003072187.1	uncharacterized protein		9698552	Eint_010090	729	242	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	13459	14070	-						9698659	Eint_010100	612		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	13459	14070	-	XM_003072188.1		XP_003072234.1	uncharacterized protein		9698659	Eint_010100	612	612	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	13459	14070	-	XP_003072234.1		XM_003072188.1	uncharacterized protein		9698659	Eint_010100	612	203	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	14163	15176	-						9698578	Eint_010110	1014		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	14163	15176	-	XM_003072189.1		XP_003072235.1	fructose-bisphosphate aldolase B		9698578	Eint_010110	1014	1014	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	14163	15176	-	XP_003072235.1		XM_003072189.1	fructose-bisphosphate aldolase B		9698578	Eint_010110	1014	337	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	15389	15895	+						9698549	Eint_010120	507		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	15389	15895	+	XM_003072190.1		XP_003072236.1	uncharacterized protein		9698549	Eint_010120	507	507	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	15389	15895	+	XP_003072236.1		XM_003072190.1	uncharacterized protein		9698549	Eint_010120	507	168	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	15933	16322	-						9698535	Eint_010130	390		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	15933	16322	-	XM_003072191.1		XP_003072237.1	dynein light chain 1		9698535	Eint_010130	390	390	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	15933	16322	-	XP_003072237.1		XM_003072191.1	dynein light chain 1		9698535	Eint_010130	390	129	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	16571	17893	+						9698655	Eint_010140	1323		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	16571	17893	+	XM_003072192.1		XP_003072238.1	uncharacterized protein		9698655	Eint_010140	1323	1323	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	16571	17893	+	XP_003072238.1		XM_003072192.1	uncharacterized protein		9698655	Eint_010140	1323	440	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	17921	18400	-						9698562	Eint_010150	480		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	17921	18400	-	XM_003072193.1		XP_003072239.1	uncharacterized protein		9698562	Eint_010150	480	480	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	17921	18400	-	XP_003072239.1		XM_003072193.1	uncharacterized protein		9698562	Eint_010150	480	159	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	18468	18743	-						9698546	Eint_010160	276		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	18468	18743	-	XM_003072194.1		XP_003072240.1	uncharacterized protein		9698546	Eint_010160	276	276	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	18468	18743	-	XP_003072240.1		XM_003072194.1	uncharacterized protein		9698546	Eint_010160	276	91	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	18862	19581	-						9698614	Eint_010170	720		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	18862	19581	-	XM_003072195.1		XP_003072241.1	60S ribosomal protein L8		9698614	Eint_010170	720	720	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	18862	19581	-	XP_003072241.1		XM_003072195.1	60S ribosomal protein L8		9698614	Eint_010170	720	239	
gene	protein_coding	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	19599	20075	+						9698555	Eint_010180	477		partial
mRNA		GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	19599	20075	+	XM_003072196.1		XP_003072242.1	uncharacterized protein		9698555	Eint_010180	477	477	partial
CDS	with_protein	GCF_000146465.1	Primary Assembly	chromosome	I	NC_014415.1	19599	20075	+	XP_003072242.1		XM_003072196.1	uncharacterized protein		9698555	Eint_010180	477	158	
