# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	2352	4494	+						5472785	PVX_087665	2143		pseudo
gene	protein_coding	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	8396	10210	+						5472659	PVX_087670	1815		
mRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	8396	10210	+	XM_001613345.1		XP_001613395.1	hypothetical protein, conserved		5472659	PVX_087670	1334	1334	
CDS	with_protein	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	9352	9696	+	XP_001613395.1		XM_001613345.1	hypothetical protein, conserved		5472659	PVX_087670	345	114	
gene	protein_coding	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	12445	14619	-						5472660	PVX_087675	2175		
mRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	12445	14619	-	XM_001613346.1		XP_001613396.1	hypothetical protein, conserved		5472660	PVX_087675	1618	1618	
CDS	with_protein	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	13092	13602	-	XP_001613396.1		XM_001613346.1	hypothetical protein, conserved		5472660	PVX_087675	333	110	
gene	protein_coding	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	23278	25230	+						5472661	PVX_087680	1953		partial
mRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	23278	25230	+	XM_001613347.1		XP_001613397.1	chitinase		5472661	PVX_087680	1953	1953	partial
CDS	with_protein	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	23278	25230	+	XP_001613397.1		XM_001613347.1	chitinase		5472661	PVX_087680	1953	650	
gene	tRNA	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	30221	30293	-						5472662	PVX_087682	73		
tRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	30221	30293	-				tRNA-Ala		5472662	PVX_087682	73		
gene	tRNA	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	30859	30942	+						5472779	PVX_087684	84		
tRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	30859	30942	+				tRNA-Tyr		5472779	PVX_087684	84		
gene	protein_coding	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	31271	33154	-						5472784	PVX_087685	1884		partial
mRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	31271	33154	-	XM_001613348.1		XP_001613398.1	hypothetical protein, conserved		5472784	PVX_087685	1304	1304	partial
CDS	with_protein	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	31271	32174	-	XP_001613398.1		XM_001613348.1	hypothetical protein, conserved		5472784	PVX_087685	324	107	
gene	protein_coding	GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	33831	39329	+						5472663	PVX_087690	5499		partial
mRNA		GCF_000002415.2	Primary Assembly	chromosome	1	NC_009906.1	33831	39329	+	XM_001613349.1		XP_001613399.1	hypothetical protein, conserved		5472663	PVX_087690	5499	5499	partial
