# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	567	6253	-						10188881	CGB_A0010C	5687		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	567	6253	-	XM_003191114.1		XP_003191162.1	xenobiotic-transporting ATPase, putative		10188881	CGB_A0010C	4614	4614	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	567	6253	-	XP_003191162.1		XM_003191114.1	xenobiotic-transporting ATPase, putative		10188881	CGB_A0010C	4614	1537	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	10477	11503	-						10187847	CGB_A0020C	1027		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	10477	11503	-	XM_003191113.1		XP_003191161.1	glucose 1-dehydrogenase, putative		10187847	CGB_A0020C	780	780	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	10477	11503	-	XP_003191161.1		XM_003191113.1	glucose 1-dehydrogenase, putative		10187847	CGB_A0020C	780	259	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	11906	13787	+						10188709	CGB_A0030W	1882		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	11906	13787	+	XM_003191039.1		XP_003191087.1	racemase, putative		10188709	CGB_A0030W	1272	1272	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	11906	13787	+	XP_003191087.1		XM_003191039.1	racemase, putative		10188709	CGB_A0030W	1272	423	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	14153	16691	-						10188639	CGB_A0040C	2539		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	14153	16691	-	XM_003191112.1		XP_003191160.1	Rhamnosidase B, putative		10188639	CGB_A0040C	2379	2379	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	14153	16691	-	XP_003191160.1		XM_003191112.1	Rhamnosidase B, putative		10188639	CGB_A0040C	2379	792	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	17349	17888	+						10188741	CGB_A0050W	540		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	17349	17888	+	XM_003191040.1		XP_003191088.1	uncharacterized protein		10188741	CGB_A0050W	540	540	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	17349	17888	+	XP_003191088.1		XM_003191040.1	uncharacterized protein		10188741	CGB_A0050W	540	179	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	18378	20799	+						10188665	CGB_A0060W	2422		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	18378	20799	+	XM_003191041.1		XP_003191089.1	uncharacterized protein		10188665	CGB_A0060W	2097	2097	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	18378	20799	+	XP_003191089.1		XM_003191041.1	uncharacterized protein		10188665	CGB_A0060W	2097	698	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	22188	24551	+						10188880	CGB_A0070W	2364		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	22188	24551	+	XM_003191042.1		XP_003191090.1	sugar transporter, putative		10188880	CGB_A0070W	1662	1662	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	22188	24551	+	XP_003191090.1		XM_003191042.1	sugar transporter, putative		10188880	CGB_A0070W	1662	553	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	24992	25642	-						10188037	CGB_A0080C	651		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	24992	25642	-	XM_003191111.1		XP_003191159.1	uncharacterized protein		10188037	CGB_A0080C	597	597	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	24992	25642	-	XP_003191159.1		XM_003191111.1	uncharacterized protein		10188037	CGB_A0080C	597	198	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	26952	29132	-						10188703	CGB_A0090C	2181		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	26952	29132	-	XM_003191110.1		XP_003191158.1	bZip transcription factor, putative		10188703	CGB_A0090C	1860	1860	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	26952	29132	-	XP_003191158.1		XM_003191110.1	bZip transcription factor, putative		10188703	CGB_A0090C	1860	619	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	29865	30675	+						10188482	CGB_A0100W	811		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	29865	30675	+	XM_003191043.1		XP_003191091.1	coatomer zeta subunit (zeta-coat protein), putative		10188482	CGB_A0100W	609	609	partial
CDS	with_protein	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	29865	30675	+	XP_003191091.1		XM_003191043.1	coatomer zeta subunit (zeta-coat protein), putative		10188482	CGB_A0100W	609	202	
gene	protein_coding	GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	30815	32402	-						10188098	CGB_A0110C	1588		partial
mRNA		GCF_000185945.1	Primary Assembly	chromosome	A	NC_014938.1	30815	32402	-	XM_003191109.1		XP_003191157.1	Hypothetical Protein		10188098	CGB_A0110C	1125	1125	partial
